index ,time                ,dt                   ,Center (x-axis) ,Center (y-axis)     ,box width ,box height
    0 ,0.0                 ,0.04649949073791504  ,      19.899551 ,-1.2164211874157616 ,29.457766 , 24.21283
    1 ,0.04627108573913574 ,0.04627108573913574  ,      34.53563  ,-1.0039711874157717 ,30.239939 , 24.125107
    2 ,0.10994839668273926 ,0.06367731094360352  ,      48.87291  ,-0.8554611874157558 ,32.75882  , 24.430939
    3 ,0.17199921607971191 ,0.062050819396972656 ,      66.28778  ,0.9734838125842487  ,32.86713  , 24.509415
    4 ,0.235060453414917   ,0.06306123733520508  ,      80.73534  ,2.8068688125842414  ,32.70768  , 25.11805
    5 ,0.2984755039215088  ,0.0634150505065918   ,      94.5679   ,3.6305888125842216  ,33.01027  , 25.820915
    6 ,0.34601879119873047 ,0.04754328727722168  ,     108.95575  ,3.1926488125842525  ,33.26832  , 26.280891
    7 ,0.3925769329071045  ,0.04655814170837402  ,     124.215485 ,1.2953188125842416  ,33.769012 , 25.26551
    8 ,0.45450925827026367 ,0.06193232536315918  ,     138.71457  ,-0.5736111874157643 ,34.46463  , 25.13984
    9 ,0.5181910991668701  ,0.06368184089660645  ,     153.46133  ,-2.2323311874157525 ,33.406906 , 24.54887
   10 ,0.579038143157959   ,0.06084704399108887  ,     167.07866  ,-2.737271187415743  ,31.61499  , 24.051247
   11 ,0.6419177055358887  ,0.06287956237792969  ,     181.11713  ,-3.5674311874157496 ,31.139053 , 23.772839
   12 ,0.7054538726806641  ,0.06353616714477539  ,     194.94183  ,-3.67669118741577   ,31.374817 , 23.694
   13 ,0.7682268619537354  ,0.06277298927307129  ,     208.47795  ,-4.061126187415766  ,30.571777 , 23.474754
   14 ,0.8305861949920654  ,0.06235933303833008  ,     223.57048  ,-5.11007118741577   ,30.651154 , 23.728275
   15 ,0.8940401077270508  ,0.06345391273498535  ,     237.636    ,-5.290631187415755  ,31.08017  , 23.897125
   16 ,0.9563729763031006  ,0.062332868576049805 ,     252.02151  ,-5.240081187415754  ,31.940567 , 25.315506
   17 ,1.0194458961486816  ,0.06307291984558105  ,     266.26715  ,-2.8007711874157764 ,31.622849 , 24.58928
   18 ,1.098496913909912   ,0.07905101776123047  ,     280.62323  ,1.8093788125842423  ,31.319122 , 24.354828
   19 ,1.162055253982544   ,0.06355834007263184  ,     294.79007  ,4.8839588125842255  ,31.522766 , 24.968994
   20 ,1.2254612445831299  ,0.06340599060058594  ,     309.32843  ,7.836028812584246   ,31.69577  , 23.763077
   21 ,1.2884564399719238  ,0.06299519538879395  ,     322.8815   ,9.534548812584248   ,31.16864  , 22.693047
   22 ,1.3502774238586426  ,0.06182098388671875  ,     337.81964  ,9.571084812584232   ,31.778717 , 22.468582
   23 ,1.412580966949463   ,0.06230354309082031  ,     351.40848  ,10.159022812584226  ,31.303955 , 23.167969
   24 ,1.474578857421875   ,0.06199789047241211  ,     366.65665  ,8.620158812584236   ,30.708008 , 24.632568
   25 ,1.5364844799041748  ,0.061905622482299805 ,     383.4458   ,6.317214812584254   ,31.718475 , 25.285988
   26 ,1.5991089344024658  ,0.06262445449829102  ,     396.23813  ,5.78232881258424    ,31.354553 , 24.033325
   27 ,1.6599431037902832  ,0.06083416938781738  ,     410.09656  ,4.36419881258422    ,30.827026 , 22.752365
   28 ,1.723625659942627   ,0.06368255615234375  ,     424.19305  ,2.9022088125842345  ,30.790009 , 23.137184
   29 ,1.7862298488616943  ,0.06260418891906738  ,     437.27518  ,2.316218812584239   ,31.091736 , 23.524887
   30 ,1.8499548435211182  ,0.06372499465942383  ,     454.3227   ,1.0568788125842445  ,31.38736  , 24.056961
   31 ,1.8980224132537842  ,0.048067569732666016 ,     466.8963   ,2.070978812584258   ,31.34671  , 23.93911
   32 ,1.960944414138794   ,0.06292200088500977  ,     482.1679   ,0.634048812584254   ,30.853302 , 24.110138
   33 ,2.0240557193756104  ,0.0631113052368164   ,     496.1649   ,0.6585888125842274  ,30.387207 , 24.186409
   34 ,2.0854990482330322  ,0.061443328857421875 ,     510.66788  ,1.1368548125842466  ,28.975769 , 24.100288
   35 ,2.1327736377716064  ,0.04727458953857422  ,     523.51324  ,1.5600488125842276  ,28.364502 , 23.944527
   36 ,2.1797218322753906  ,0.04694819450378418  ,     536.20325  ,3.0199748125842376  ,27.221375 , 23.239037
   37 ,2.2269833087921143  ,0.04726147651672363  ,     551.21606  ,1.9254638125842405  ,26.770813 , 23.240433
   38 ,2.2895171642303467  ,0.06253385543823242  ,     565.7036   ,1.8465988125842472  ,26.548523 , 23.565002
   39 ,2.3364944458007812  ,0.04697728157043457  ,     578.6305   ,2.3664988125842257  ,26.166199 , 23.10704
   40 ,2.383430242538452   ,0.0469357967376709   ,     592.03345  ,2.773878812584229   ,25.936707 , 22.87046
   41 ,2.430490255355835   ,0.04706001281738281  ,     605.66504  ,2.3560788125842436  ,26.02716  , 22.711678
   42 ,2.476940155029297   ,0.046449899673461914 ,     619.91895  ,3.3252888125842333  ,26.483948 , 23.2613
   43 ,2.523984909057617   ,0.04704475402832031  ,     630.2113   ,4.615088812584219   ,19.577332 , 23.993317
