Time,Model_1
0.0,-3.0946986
0.0611775,-11.9431186
0.1251264,-17.6816086
0.1895783,-18.6606486
0.251591,-15.6362286
0.30782930000000003,-9.5729986
0.3704752,-0.4750386
0.4364401,8.5652314
0.4985013,14.9458314
0.5626424,18.1514614
0.6226328999999999,16.8382914
0.6873225,11.0482814
0.7483488999551534,3.3335914
0.8101807999551535,-5.8674286
0.8718378999551535,-13.2812486
0.9352800999551535,-18.0591386
0.9987246999551534,-18.3785086
1.0621285999551535,-14.1623686
1.12430049990156,-7.1170086
1.18798819990156,0.9790614
1.249104699727872,10.0080614
1.3089171997278721,15.9392114
1.355157699727872,18.3999914
1.4043550997166425,16.0349714
1.4553002997166424,9.7743514
1.5172347997166424,0.7479814
1.5805107997166425,-8.3063686
1.6451557997166426,-15.4871686
1.7079602997166425,-19.0130686
1.7707827997166425,-18.0094886
1.8315169997166425,-12.9404286
1.8917879997405738,-5.2422186
1.9542892997405739,3.6120614
2.0147026997405737,11.5719614
2.0789779997405735,16.8900114
2.1401406996858445,18.1300014
2.2031748996858447,14.4201914
2.265153499685845,8.0713514
2.32721959952513,-1.3254686
2.39067579952513,-10.4634386
2.45635499952513,-16.2136886
2.5160948995251298,-18.6905686
2.5751590995251297,-16.6520986
2.6211321995251295,-11.1774286
2.6712067995251294,-2.4738186
2.7362047995251295,6.0568814
2.7992307995251293,13.2197314
2.8616180995251295,17.3479314
2.9257181995251296,17.4738114
2.9872267995251294,13.2198514
3.048419799525129,5.7982814
3.110485199525129,-2.8847386
3.175867799525129,-11.7776486
3.235382599525129,-17.0856286
3.2864286995251293,-18.4221686
3.3489391995251294,-15.5769686
3.4107417995251295,-9.7118486
3.4734845995251296,-0.7171986
3.5335936995251296,7.9462914
3.6039381995251296,14.3957814
3.6616877996748207,17.7597314
3.7232302996748206,16.7255514
3.7874526996748203,11.2036714
3.8496324996748204,3.2672114
3.9123576996748204,-5.8953886
3.9741941996748205,-13.2105686
4.035728399538493,-18.2297986
4.099388999538493,-18.5639686
4.1595663995482,-14.5365886
4.226287799548199,-7.5654886
4.287660199548199,1.0869114
4.351031899548199,9.6864914
4.412454999548199,15.5246614
4.474427099603044,17.8679314
4.537510099603044,15.8338614
4.603025499603044,9.6428814
4.664071699603044,0.9741314
4.725235099603044,-7.6921986
4.787608399686025,-14.5183086
4.850024299686026,-18.2506386
4.915451899686025,-17.4776686
4.9749928996860255,-12.4581286
5.03730699978389,-5.2687986
5.09869969978389,3.4769914
5.161062699783891,10.6459914
5.209196799783891,16.3710314
5.259566999783891,17.6249314
5.31630479978389,14.4061914
5.36527959978389,7.9719314
5.42727149978389,-1.0472986
5.47804599978389,-9.8947186
5.54259829978389,-15.5771486
5.600331099805658,-18.1940886
5.648863899805658,-16.7757686
5.714013499805658,-11.3993486
5.776825599805658,-2.9165086
5.839901099805658,5.4616114
5.901376099805658,12.1022614
5.961232099696373,16.8011314
6.009681599696373,17.0303914
6.073729699696373,12.9315314
6.137969399696373,5.7349814
6.200096199696373,-2.8288286
6.2615604996963725,-11.5338186
6.323036899696373,-17.0235686
6.387389899696372,-18.6467286
6.448952799662165,-15.9351186
6.5126402996621655,-9.7261386
6.573265999662166,-1.1584186
6.623108799662166,7.3714014
6.685565499662166,13.9065314
6.748643799662166,17.4212014
6.811901199662167,16.4881014
6.876439199662166,11.2886314
6.9376232996621665,3.5157514
7.002041399662167,-5.3361686
7.065395299662167,-12.6478886
7.128733999662167,-17.7060686
7.190517699662167,-18.0779986
7.251716299764383,-14.1606486
7.317498499764383,-7.5979686
7.378083799764383,0.2030914
7.439387399734798,9.2507314
7.505129599734798,14.9946914
7.565896699694574,17.4400614
7.627793399694574,15.4777514
7.688199199694574,9.6482814
7.740096799694574,1.5439314
7.802533399694574,-7.1353686
7.868104699694574,-13.7833286
7.928014299694574,-17.7630686
7.991224899694574,-17.4038086
8.05368279972325,-12.5225186
8.11790019972325,-5.4131486
8.177744399756945,2.9419314
8.241622099756945,10.3118314
8.303243299756945,15.8173814
8.364316399756945,17.1897014
8.415867299756945,14.2839014
8.474768399756945,8.3466314
8.537602799756945,-0.6658286
8.602020899756944,-9.3634986
8.664790199756943,-15.6836686
8.723369199756943,-18.4133286
8.77309669970762,-16.7145686
8.83633689970762,-11.3601986
8.897769599707619,-3.5975386
8.96151729970762,4.9041314
9.021537299707619,11.9256614
9.084700899707618,16.6481314
9.148844899707619,17.0328714
9.20849299970762,13.0104714
